"fuel_id","vehicle_gear_id","vehicle_name","litres_added","pump_gauge_reading","instructor","time","created_at"
"2","3767","Ford RGH292 12 Seater White","40","97104","endao","2026-04-30T22:49:58.53+00:00","2026-04-30T22:49:59.827619+00:00"
"3","3767","Ford RGH292 12 Seater White","40","97104","endao","2026-04-30T22:50:38.481+00:00","2026-04-30T22:50:39.698188+00:00"
